DPTO,MPIO,CODIGO_DE_LA_ARL,AÑO_DE_INFORME,MES_DE_INFORME,ACTIVEC,RELA_DEP,RELA_INDEP,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL
CAQUETA,FLORENCIA,1423,2024,9,3141001,0,0,0,0,0,0,0,0
CUNDINAMARCA,CHIPAQUE,1423,2024,9,4492301,2,0,0,0,0,0,0,0
NARIÑO,IPIALES,1423,2024,9,1799001,50,0,0,0,0,0,0,0
VALLE DEL CAUCA,ROLDANILLO,1423,2024,9,2014501,0,0,0,0,0,0,0,0
CUNDINAMARCA,VILLETA,1423,2024,9,1475901,3,0,0,0,0,0,0,0
CORDOBA,MONTERIA,1423,2024,9,4259302,0,0,0,0,0,0,0,0
BOYACA,BETEITIVA,1423,2024,9,3861001,0,1,0,0,0,0,0,0
ANTIOQUIA,TARAZA,1423,2024,9,2475201,7,0,0,0,0,0,0,0
SUCRE,SANTIAGO DE TOLU,1423,2024,9,1889001,0,0,0,0,0,0,0,0
CORDOBA,PUERTO ESCONDIDO,1423,2024,9,1841201,32,81,0,0,0,0,0,0
CALDAS,SALAMINA,1423,2024,9,2862201,5,0,0,0,0,0,0,0
HUILA,LA ARGENTINA,1423,2024,9,1949901,0,0,0,0,0,0,0,0
VALLE DEL CAUCA,LA UNION,1423,2024,9,5411101,0,0,0,0,0,0,0,0
MAGDALENA,SANTA MARTA,1423,2024,9,2872001,23,0,2,2,2,0,0,0
ANTIOQUIA,COPACABANA,1423,2024,9,3452001,1,0,0,0,0,0,0,0
BOYACA,JENESANO,1423,2024,9,2014101,4,0,0,0,0,0,0,0
META,PUERTO LOPEZ,1423,2024,9,1474101,1,0,0,0,0,0,0,0
CAUCA,PIAMONTE,1423,2024,9,1477301,0,0,0,0,0,0,0,0
ANTIOQUIA,SONSON,1423,2024,9,3360001,72,1,4,4,4,0,0,0
BOYACA,PESCA,1423,2024,9,3619001,1,0,0,0,0,0,0,0
TOLIMA,ESPINAL,1423,2024,9,1855901,0,1,0,0,0,0,0,0
CAUCA,CALOTO (1),1423,2024,9,2619001,3,0,0,0,0,0,0,0
CESAR,SAN DIEGO,1423,2024,9,1970001,2,0,0,0,0,0,0,0
CUNDINAMARCA,MOSQUERA,1423,2024,9,2522101,12,0,0,0,0,0,0,0
CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE,1423,2024,9,3869101,9,0,0,0,0,0,0,0
ANTIOQUIA,SANTAFE DE ANTIOQUIA,1423,2024,9,3562101,1,0,0,0,0,0,0,0
ANTIOQUIA,GUARNE,1423,2024,9,5429001,4,0,0,0,0,0,0,0
ANTIOQUIA,BURITICA,1423,2024,9,1841201,0,37,0,0,0,0,0,0
CUNDINAMARCA,TOCANCIPA,1423,2024,9,3612001,0,0,0,0,0,0,0,0
SAN ANDRES,SAN ANDRES,1423,2024,9,2773002,5,0,0,0,0,0,0,0
SANTANDER,BUCARAMANGA,1423,2024,9,2331201,11,1,0,0,0,0,0,0
SAN ANDRES,PROVIDENCIA,1423,2024,9,1474101,0,0,0,0,0,0,0,0
RISARALDA,DOSQUEBRADAS,1423,2024,9,1472902,12,0,0,0,0,0,0,0
ATLANTICO,BARANOA,1423,2024,9,2561201,2,0,0,0,0,0,0,0
